user.id,image,emotion,exists
628,facial-expressions_2868588k.jpg,anger,True
628,facial-expressions_2868585k.jpg,surprise,True
628,facial-expressions_2868584k.jpg,disgust,True
628,facial-expressions_2868582k.jpg,fear,True
dwdii,Aaron_Eckhart_0001.jpg,neutral,True
302,Aaron_Guiel_0001.jpg,happiness,True
302,Aaron_Patterson_0001.jpg,neutral,True
302,Aaron_Peirsol_0001.jpg,happiness,True
302,Aaron_Peirsol_0002.jpg,happiness,True
302,Aaron_Peirsol_0003.jpg,happiness,True
302,Aaron_Peirsol_0004.jpg,neutral,True
302,Aaron_Pena_0001.jpg,neutral,True
302,Aaron_Sorkin_0001.jpg,happiness,True
302,Aaron_Sorkin_0002.jpg,happiness,True
302,Aaron_Tippin_0001.jpg,neutral,True
302,Abbas_Kiarostami_0001.jpg,neutral,True
302,Abba_Eban_0001.jpg,happiness,True
302,Abdel_Aziz_Al-Hakim_0001.jpg,neutral,True
302,Abdel_Madi_Shabneh_0001.jpg,neutral,True
302,Abdel_Nasser_Assidi_0001.jpg,neutral,True
302,Abdel_Nasser_Assidi_0002.jpg,neutral,True
302,Abdoulaye_Wade_0001.jpg,neutral,True
302,Abdoulaye_Wade_0002.jpg,happiness,True
302,Abdoulaye_Wade_0003.jpg,neutral,True
302,Abdoulaye_Wade_0004.jpg,happiness,True
302,Abdulaziz_Kamilov_0001.jpg,neutral,True
302,Abdullah_0001.jpg,neutral,True
302,Abdullah_0002.jpg,neutral,True
302,Abdullah_0003.jpg,neutral,True
302,Abdullah_0004.jpg,neutral,True
302,Abdullah_Ahmad_Badawi_0001.jpg,happiness,True
302,Abdullah_al-Attiyah_0003.jpg,neutral,True
302,Abdullah_Gul_0001.jpg,neutral,True
302,Abdullah_Gul_0002.jpg,happiness,True
302,Abdullah_Gul_0003.jpg,happiness,True
302,Abdullah_Gul_0004.jpg,happiness,True
302,Abdullah_Gul_0005.jpg,happiness,True
302,Abdullah_Gul_0006.jpg,neutral,True
302,Abdullah_Gul_0007.jpg,neutral,True
302,Abdullah_Gul_0008.jpg,neutral,True
302,Abdullah_Gul_0009.jpg,neutral,True
302,Abdullah_Gul_0010.jpg,neutral,True
302,Abdullah_Gul_0011.jpg,neutral,True
302,Abdullah_Gul_0012.jpg,happiness,True
302,Abdullah_Gul_0013.jpg,neutral,True
302,Abdullah_Gul_0014.jpg,neutral,True
302,Abdullah_Gul_0016.jpg,neutral,True
302,Abdullah_Gul_0017.jpg,neutral,True
302,Abdullah_Gul_0018.jpg,neutral,True
302,Abdullah_Gul_0019.jpg,neutral,True
302,Abdullah_Nasseef_0001.jpg,surprise,True
302,Abdullatif_Sener_0001.jpg,neutral,True
302,Abdullatif_Sener_0002.jpg,neutral,True
302,Abdul_Rahman_0001.jpg,neutral,True
302,Abel_Aguilar_0001.jpg,neutral,True
302,Abel_Pacheco_0001.jpg,neutral,True
302,Abel_Pacheco_0002.jpg,neutral,True
302,Abel_Pacheco_0003.jpg,neutral,True
302,Abel_Pacheco_0004.jpg,neutral,True
302,Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,happiness,True
302,Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,neutral,True
302,Abner_Martinez_0001.jpg,happiness,True
302,Abraham_Foxman_0001.jpg,neutral,True
302,Aby_Har-Even_0001.jpg,neutral,True
302,Adam_Ant_0001.jpg,neutral,True
302,Adam_Freier_0001.jpg,neutral,True
302,Adam_Herbert_0001.jpg,neutral,True
302,Adam_Kennedy_0001.jpg,neutral,True
302,Adam_Mair_0001.jpg,surprise,True
302,Adam_Rich_0001.jpg,neutral,True
302,Adam_Sandler_0001.jpg,neutral,True
302,Adam_Sandler_0002.jpg,neutral,True
302,Adam_Sandler_0003.jpg,neutral,True
302,Adam_Sandler_0004.jpg,happiness,True
302,Adam_Scott_0001.jpg,neutral,True
302,Adam_Scott_0002.jpg,neutral,True
302,Adelina_Avila_0001.jpg,neutral,True
302,Adel_Al-Jubeir_0001.jpg,neutral,True
302,Adel_Al-Jubeir_0002.jpg,neutral,True
302,Adel_Al-Jubeir_0003.jpg,neutral,True
302,Adisai_Bodharamik_0001.jpg,neutral,True
302,Adolfo_Aguilar_Zinser_0001.jpg,neutral,True
302,Adolfo_Aguilar_Zinser_0002.jpg,neutral,True
302,Adolfo_Aguilar_Zinser_0003.jpg,neutral,True
302,Adolfo_Rodriguez_Saa_0001.jpg,happiness,True
302,Adolfo_Rodriguez_Saa_0002.jpg,happiness,True
302,Adoor_Gopalakarishnan_0001.jpg,neutral,True
302,Adriana_Lima_0001.jpg,neutral,True
